id,Nombre,Categoria,Descripcion
1,T-Mobile G2x,T-Mobile,lopremitsumafredlolxfwaaaddudbbdf
2,LG KH3900 Joypop,LG,lopremitsumafredlolxfwaaaddudbbdf
3,Acer Iconia Tab A3-A20FHD,Acer,lopremitsumafredlolxfwaaaddudbbdf
4,Infinix Hot 6X,Infinix,lopremitsumafredlolxfwaaaddudbbdf
5,Nokia 230 Dual SIM,Nokia,lopremitsumafredlolxfwaaaddudbbdf
6,Oppo Reno 10x zoom,Oppo,lopremitsumafredlolxfwaaaddudbbdf
7,Philips V787,Philips,lopremitsumafredlolxfwaaaddudbbdf
8,Lava X50 Plus,Lava,lopremitsumafredlolxfwaaaddudbbdf
9,Sagem my100X,Sagem,lopremitsumafredlolxfwaaaddudbbdf
10,LG L Fino,LG,lopremitsumafredlolxfwaaaddudbbdf
11,Huawei M886 Mercury,Huawei,lopremitsumafredlolxfwaaaddudbbdf
12,Sony CMD CD5,Sony,lopremitsumafredlolxfwaaaddudbbdf
13,Acer Liquid Z320,Acer,lopremitsumafredlolxfwaaaddudbbdf
14,Asus Zenfone 5 A500KL (2014),Asus,lopremitsumafredlolxfwaaaddudbbdf
15,Motorola Photon 4G MB855,Motorola,lopremitsumafredlolxfwaaaddudbbdf
16,T-Mobile Move Balance,T-Mobile,lopremitsumafredlolxfwaaaddudbbdf
17,LG Optimus 2X,LG,lopremitsumafredlolxfwaaaddudbbdf
18,i-mobile 320,i-mobile,lopremitsumafredlolxfwaaaddudbbdf
19,Sharp 930SH,Sharp,lopremitsumafredlolxfwaaaddudbbdf
20,Sony Ericsson K200,Sony,lopremitsumafredlolxfwaaaddudbbdf
21,BLU Life Play X,BLU,lopremitsumafredlolxfwaaaddudbbdf
22,LG GW620,LG,lopremitsumafredlolxfwaaaddudbbdf
23,Nokia 6790 Surge,Nokia,lopremitsumafredlolxfwaaaddudbbdf
24,Samsung Galaxy Note I717,Samsung,lopremitsumafredlolxfwaaaddudbbdf
25,Mitac MIO Leap G50,Mitac,lopremitsumafredlolxfwaaaddudbbdf
26,Sony Ericsson D750,Sony,lopremitsumafredlolxfwaaaddudbbdf
27,HTC Raider 4G,HTC,lopremitsumafredlolxfwaaaddudbbdf
28,Allview P8 Energy Pro,Allview,lopremitsumafredlolxfwaaaddudbbdf
29,QMobile Noir Z8,QMobile,lopremitsumafredlolxfwaaaddudbbdf
30,ZTE nubia Red Magic 5S,ZTE,lopremitsumafredlolxfwaaaddudbbdf
31,Plum Strike,Plum,lopremitsumafredlolxfwaaaddudbbdf
32,vivo iQOO U3,vivo,lopremitsumafredlolxfwaaaddudbbdf
33,Lenovo S856,Lenovo,lopremitsumafredlolxfwaaaddudbbdf
34,Nokia 3610,Nokia,lopremitsumafredlolxfwaaaddudbbdf
35,NIU Andy 3.5E2I,NIU,lopremitsumafredlolxfwaaaddudbbdf
36,Kyocera Torque E6710,Kyocera,lopremitsumafredlolxfwaaaddudbbdf
37,QMobile Noir Z5,QMobile,lopremitsumafredlolxfwaaaddudbbdf
38,Benefon Vega,Benefon,lopremitsumafredlolxfwaaaddudbbdf
39,Samsung M300,Samsung,lopremitsumafredlolxfwaaaddudbbdf
40,Celkon C517,Celkon,lopremitsumafredlolxfwaaaddudbbdf
41,Huawei Mate 40,Huawei,lopremitsumafredlolxfwaaaddudbbdf
42,Cat B15,Cat,lopremitsumafredlolxfwaaaddudbbdf
43,LG Optimus Q LU2300,LG,lopremitsumafredlolxfwaaaddudbbdf
44,LG K61,LG,lopremitsumafredlolxfwaaaddudbbdf
45,Huawei MediaPad M3 Lite 10,Huawei,lopremitsumafredlolxfwaaaddudbbdf
46,Sagem MY V-65,Sagem,lopremitsumafredlolxfwaaaddudbbdf
47,Micromax Bharat 5,Micromax,lopremitsumafredlolxfwaaaddudbbdf
48,alcatel OT 756,alcatel,lopremitsumafredlolxfwaaaddudbbdf
49,Wiko Tommy3 Plus,Wiko,lopremitsumafredlolxfwaaaddudbbdf
50,Samsung Galaxy A41,Samsung,lopremitsumafredlolxfwaaaddudbbdf
51,Infinix Zero 6 Pro,Infinix,lopremitsumafredlolxfwaaaddudbbdf
52,ZTE nubia Z9 mini,ZTE,lopremitsumafredlolxfwaaaddudbbdf
53,BLU Dash Music,BLU,lopremitsumafredlolxfwaaaddudbbdf
54,ZTE Blade V7 Max,ZTE,lopremitsumafredlolxfwaaaddudbbdf
55,Celkon C705,Celkon,lopremitsumafredlolxfwaaaddudbbdf
56,BQ Aquaris VS,BQ,lopremitsumafredlolxfwaaaddudbbdf
57,Samsung X610,Samsung,lopremitsumafredlolxfwaaaddudbbdf
58,Gionee Marathon M5 mini,Gionee,lopremitsumafredlolxfwaaaddudbbdf
59,Philips 399,Philips,lopremitsumafredlolxfwaaaddudbbdf
60,T-Mobile Energy,T-Mobile,lopremitsumafredlolxfwaaaddudbbdf
61,Nokia 7.1,Nokia,lopremitsumafredlolxfwaaaddudbbdf
62,Celkon C5,Celkon,lopremitsumafredlolxfwaaaddudbbdf
63,NEC N900iG,NEC,lopremitsumafredlolxfwaaaddudbbdf
64,Oppo F7 Youth,Oppo,lopremitsumafredlolxfwaaaddudbbdf
65,Motorola MT710 ZHILING,Motorola,lopremitsumafredlolxfwaaaddudbbdf
66,Samsung Galaxy S7,Samsung,lopremitsumafredlolxfwaaaddudbbdf
67,Gigabyte GSmart Saga S3,Gigabyte,lopremitsumafredlolxfwaaaddudbbdf
68,alcatel OT-799 Play,alcatel,lopremitsumafredlolxfwaaaddudbbdf
69,Micromax Canvas Tab P470,Micromax,lopremitsumafredlolxfwaaaddudbbdf
70,Samsung Galaxy A20s,Samsung,lopremitsumafredlolxfwaaaddudbbdf
71,Samsung Galaxy Tab A 8.0 (2015),Samsung,lopremitsumafredlolxfwaaaddudbbdf
72,Plum Sync 5.0,Plum,lopremitsumafredlolxfwaaaddudbbdf
73,alcatel OT-301,alcatel,lopremitsumafredlolxfwaaaddudbbdf
74,LG G5,LG,lopremitsumafredlolxfwaaaddudbbdf
75,Micromax Canvas Tab P666,Micromax,lopremitsumafredlolxfwaaaddudbbdf
76,Plum Ram,Plum,lopremitsumafredlolxfwaaaddudbbdf
77,alcatel OT-C552,alcatel,lopremitsumafredlolxfwaaaddudbbdf
78,LG A155,LG,lopremitsumafredlolxfwaaaddudbbdf
79,Allview P1 AllDro,Allview,lopremitsumafredlolxfwaaaddudbbdf
80,Sony Ericsson Xperia Duo,Sony,lopremitsumafredlolxfwaaaddudbbdf
81,Samsung Galaxy S III I747,Samsung,lopremitsumafredlolxfwaaaddudbbdf
82,LG G7020,LG,lopremitsumafredlolxfwaaaddudbbdf
83,Oppo Reno4 5G,Oppo,lopremitsumafredlolxfwaaaddudbbdf
84,NEC N930,NEC,lopremitsumafredlolxfwaaaddudbbdf
85,verykool i127,verykool,lopremitsumafredlolxfwaaaddudbbdf
86,Acer Liquid Z110,Acer,lopremitsumafredlolxfwaaaddudbbdf
87,alcatel OT 512,alcatel,lopremitsumafredlolxfwaaaddudbbdf
88,HP Slate6 VoiceTab,HP,lopremitsumafredlolxfwaaaddudbbdf
89,Asus Zenfone 4 ZE554KL,Asus,lopremitsumafredlolxfwaaaddudbbdf
90,Huawei Ascend G630,Huawei,lopremitsumafredlolxfwaaaddudbbdf
91,Samsung M190S Galaxy S Hoppin,Samsung,lopremitsumafredlolxfwaaaddudbbdf
92,Asus Z810,Asus,lopremitsumafredlolxfwaaaddudbbdf
93,Motorola BRAVO MB520,Motorola,lopremitsumafredlolxfwaaaddudbbdf
94,alcatel OT-668,alcatel,lopremitsumafredlolxfwaaaddudbbdf
95,Samsung Z400,Samsung,lopremitsumafredlolxfwaaaddudbbdf
96,Huawei Ascend D quad,Huawei,lopremitsumafredlolxfwaaaddudbbdf
97,XOLO A500S,XOLO,lopremitsumafredlolxfwaaaddudbbdf
98,NEC N500,NEC,lopremitsumafredlolxfwaaaddudbbdf
99,verykool s635,verykool,lopremitsumafredlolxfwaaaddudbbdf
100,LG C320 InTouch Lady,LG,lopremitsumafredlolxfwaaaddudbbdf
101,Xiaomi Mi Mix 3 5G,Xiaomi,lopremitsumafredlolxfwaaaddudbbdf
102,Meizu E3,Meizu,lopremitsumafredlolxfwaaaddudbbdf
103,Panasonic Eluga Ray 600,Panasonic,lopremitsumafredlolxfwaaaddudbbdf
104,alcatel ELLE GlamPhone,alcatel,lopremitsumafredlolxfwaaaddudbbdf
105,Lenovo Yoga Smart Tab,Lenovo,lopremitsumafredlolxfwaaaddudbbdf
106,Toshiba Excite Write,Toshiba,lopremitsumafredlolxfwaaaddudbbdf
107,Samsung E1100,Samsung,lopremitsumafredlolxfwaaaddudbbdf
108,Allview V4 Viper Pro,Allview,lopremitsumafredlolxfwaaaddudbbdf
109,BLU J6,BLU,lopremitsumafredlolxfwaaaddudbbdf
110,vivo X6S,vivo,lopremitsumafredlolxfwaaaddudbbdf
111,Samsung E740,Samsung,lopremitsumafredlolxfwaaaddudbbdf
112,Celkon Q3K Power,Celkon,lopremitsumafredlolxfwaaaddudbbdf
113,alcatel OT-902,alcatel,lopremitsumafredlolxfwaaaddudbbdf
114,Philips 960,Philips,lopremitsumafredlolxfwaaaddudbbdf
115,Icemobile Tornado II,Icemobile,lopremitsumafredlolxfwaaaddudbbdf
116,Celkon C297,Celkon,lopremitsumafredlolxfwaaaddudbbdf
117,Samsung B7722,Samsung,lopremitsumafredlolxfwaaaddudbbdf
118,Micromax X370,Micromax,lopremitsumafredlolxfwaaaddudbbdf
119,Micromax Dual 5,Micromax,lopremitsumafredlolxfwaaaddudbbdf
120,Lava V2 3GB,Lava,lopremitsumafredlolxfwaaaddudbbdf
121,HTC P4350,HTC,lopremitsumafredlolxfwaaaddudbbdf
122,Sony Xperia M Ultra,Sony,lopremitsumafredlolxfwaaaddudbbdf
123,Allview AX4 Nano,Allview,lopremitsumafredlolxfwaaaddudbbdf
124,Orange Miami,Orange,lopremitsumafredlolxfwaaaddudbbdf
125,Plum Phantom 2,Plum,lopremitsumafredlolxfwaaaddudbbdf
126,Gionee Marathon M5 enjoy,Gionee,lopremitsumafredlolxfwaaaddudbbdf
127,Samsung D780,Samsung,lopremitsumafredlolxfwaaaddudbbdf
128,Nokia X2 Dual SIM,Nokia,lopremitsumafredlolxfwaaaddudbbdf
129,Prestigio MultiPad 7.0 Ultra +,Prestigio,lopremitsumafredlolxfwaaaddudbbdf
130,Oppo Reno2,Oppo,lopremitsumafredlolxfwaaaddudbbdf
131,ZTE nubia Z11 mini S,ZTE,lopremitsumafredlolxfwaaaddudbbdf
132,NEC N820,NEC,lopremitsumafredlolxfwaaaddudbbdf
133,Nokia Asha 210,Nokia,lopremitsumafredlolxfwaaaddudbbdf
134,NEC N223i,NEC,lopremitsumafredlolxfwaaaddudbbdf
135,Sony Xperia R1 (Plus),Sony,lopremitsumafredlolxfwaaaddudbbdf
136,Celkon C44 Duos,Celkon,lopremitsumafredlolxfwaaaddudbbdf
137,NIU Niutek 4.5D,NIU,lopremitsumafredlolxfwaaaddudbbdf
138,Xiaomi Mi 4 LTE,Xiaomi,lopremitsumafredlolxfwaaaddudbbdf
139,Sharp GX25/GZ200,Sharp,lopremitsumafredlolxfwaaaddudbbdf
140,Philips W632,Philips,lopremitsumafredlolxfwaaaddudbbdf
141,LG Optimus Vu F100S,LG,lopremitsumafredlolxfwaaaddudbbdf
142,Siemens S75,Siemens,lopremitsumafredlolxfwaaaddudbbdf
